样本文件,样本最大等位基因数,样本总特异等位基因数,每位点平均等位基因数,每位点等位基因数标准差,等位基因数大于2的位点数,等位基因数大于3的位点数,等位基因数大于4的位点数,等位基因数大于5的位点数,等位基因数大于6的位点数,等位基因计数分布熵,平均峰高,峰高标准差,最小峰高,最大峰高,峰高变异系数,峰高分位数比率,平均峰高比,峰高比标准差,最小峰高比,峰高比中位数,可计算峰高比的位点数,严重失衡位点数,严重失衡位点比例,峰高分布偏度,峰高分布峭度,峰高分布多峰性,饱和峰数量,饱和峰比例,位点间平衡熵,平均位点等位基因熵,峰高分布熵,有效等位基因位点数,无有效等位基因位点数,峰高片段大小相关性,峰高片段大小回归斜率,加权峰高片段大小斜率,峰高比片段大小斜率,片段大小加权位点丢失评分,RFU每碱基对降解指数,小大片段信息完整度比率,等位基因多样性指数,峰模式复杂度,杂合率,峰聚类系数,贡献者人数,预测贡献者人数
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,2,6,1.1666666666666667,0.408248290463863,1,0,0,0,0,0.4505612086663046,70.85714285714286,20.883544933262453,52.0,110.0,0.2947274486549136,1.490909090909091,0.5181818181818182,0.0,0.5181818181818182,0.5181818181818182,1,1,1.0,0.8787992366139125,2.1880998097341897,0,0,0.0,1.688994955019572,0.6419054139907961,1.4750763105546947,6,14,-0.2841958861937915,-0.0901139341613214,-0.0901139341613214,0.0,0.7,-0.10266472429905586,5.0,0.8163265306122449,0.0,0.16666666666666666,0.23468262554044808,2,2
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,2,7,1.1666666666666667,0.408248290463863,1,0,0,0,0,0.4505612086663046,63.857142857142854,19.917175441086535,50.0,110.0,0.3119020762586258,1.2815533980582525,0.4727272727272727,0.0,0.4727272727272727,0.4727272727272727,1,1,1.0,1.629899580644456,4.209574679738432,1,0,0.0,1.675681718931429,0.6276116831595444,0.9556998908125343,6,14,-0.18986147202475884,-0.07715334614703726,-0.07715334614703726,0.0,0.7,-0.11365720382213879,2.0,0.8571428571428572,0.0,0.16666666666666666,0.2725026059856362,3,5
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,3,15,2.090909090909091,0.8312094145936334,8,4,0,0,0,1.0900596584107838,173.7391304347826,138.46431572675553,55.0,531.0,0.7969667822110554,2.8193548387096774,0.7021180861083357,0.24467469865366584,0.4369114877589454,0.7101706722396377,4,2,0.5,1.545428121671096,4.184996522546783,3,0,0.0,2.090151292321129,0.8634548428130187,2.257927226191814,11,9,-0.6235002043317043,-1.9462560550656205,-1.9462560550656205,0.0024605018915457894,0.45,-2.355176593534051,1.75,0.9111531190926275,0.10735631219146557,0.36363636363636365,0.6580315630682022,5,5
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,2,9,1.4285714285714286,0.5345224838248488,3,0,0,0,0,0.6829081045004717,73.3,36.682557162771516,51.0,180.0,0.5004441632028857,1.2522935779816513,0.7577276849332816,0.07630788442969427,0.6506024096385542,0.8,3,0,0.0,2.3894171518363194,7.197382595847161,0,0,0.0,1.8569789499116545,0.6819786796108809,1.4184836614456566,7,13,-0.28916021225180116,-0.32929237498139247,-0.32929237498139247,0.001312653712432038,0.65,-0.5655722151329886,6.0,0.8799999999999999,0.0,0.42857142857142855,0.451600812874284,5,5
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,2,12,1.4166666666666667,0.5149286505444373,5,0,0,0,0,0.6791932657915256,78.23529411764706,18.48856375220577,54.0,117.0,0.23631998781014896,1.421875,0.8037945306327658,0.1386543529844595,0.5686274509803921,0.8088235294117647,5,1,0.2,0.5076396424276614,2.169116214002638,3,0,0.0,2.4014192514897297,0.6822773277851799,2.476247131683033,12,8,-0.47519171079707284,-0.10930460506259963,-0.10930460506259963,0.0006243566123272428,0.4,-0.14806411443485215,1.0,0.9065743944636678,0.0,0.4166666666666667,0.1805082962890261,3,3
B01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.5IP-Q0.9_002.5sec.fsa,4,24,2.5625,0.6291528696058958,16,8,1,0,0,0.8815322608881637,432.8536585365854,217.1765114388788,185.0,1120.0,0.5017319529494579,1.964705882352941,0.4571742786880155,0.13881029180460658,0.26473988439306356,0.431835811247576,8,7,0.875,1.2334037097817492,4.0339611104521325,3,0,0.0,2.729225093772443,0.8587639900592549,2.512913507910784,16,4,0.013220610720434095,0.041637514162450796,0.041637514162450796,0.00033312726431775937,0.2,0.1057862391432358,0.7777777777777778,0.9458655562165378,0.13219004352231242,0.5,0.38730696375980456,4,3
B01_RD14-0003-44_45-1;1-M2S30-0.25IP-Q3.0_002.5sec.fsa,4,14,1.9090909090909092,1.0444659357341868,6,3,1,0,0,1.2406842915533958,137.42857142857142,81.05880959059847,53.0,335.0,0.5898250178110076,1.975,0.4851535760911754,0.2163175678858875,0.22916666666666666,0.46808510638297873,3,2,0.6666666666666666,1.1633782100382992,3.1514799725631466,1,0,0.0,2.1343983068055064,0.8811490340745886,2.3756465469342483,11,9,-0.546052653405105,-0.9932385520049475,-0.9932385520049475,-0.01215757128372084,0.45,-1.3370878868348206,2.6666666666666665,0.9024943310657597,0.0746404092302383,0.2727272727272727,0.4894014102785055,2,2
B01_RD14-0003-44_45-1;1-M3a-0.25IP-Q0.5_002.5sec.fsa,4,22,2.6875,0.704154339142587,16,9,2,0,0,0.9832739439463889,313.4651162790698,123.97999629295217,150.0,645.0,0.39551449221729673,1.696035242290749,0.6352272265612705,0.17977487786194501,0.3466666666666667,0.6577540106951871,7,3,0.42857142857142855,1.0016866442798253,3.3733398709007294,2,0,0.0,2.748695135209765,0.9273334507581256,2.4091713554944856,16,4,-0.05949142683720541,-0.10490191433056564,-0.10490191433056564,0.0007840633255832135,0.2,-0.06387653926345079,0.7777777777777778,0.9367225527312061,0.1375967910312828,0.4375,0.3004960906070134,2,2
B02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.5IP-Q3.2_002.5sec.fsa,3,17,1.7857142857142858,0.6992932067530679,9,2,0,0,0,0.9922819745525737,164.96,109.62827372534879,56.0,508.0,0.6645748892176818,2.525,0.6766306124323991,0.1921504238239999,0.42322834645669294,0.7128712871287128,7,3,0.42857142857142855,1.8938434778981754,6.424015721485095,2,0,0.0,2.3716372537681374,0.7547015239906716,2.2343358068055115,14,6,-0.6364136201483388,-1.0562466113943507,-1.0562466113943507,0.0017706336261780172,0.3,-1.4075014917806348,1.0,0.9279999999999999,0.03006870458713821,0.5,0.5170126808157878,4,5
B02_RD14-0003-44_45-1;1-M2e-0.25IP-Q0.8_002.5sec.fsa,4,23,2.4375,0.7274384280931732,16,5,2,0,0,0.8314025201956379,166.12820512820514,94.99991349177694,50.0,429.0,0.5718469865996759,2.4021164021164023,0.5950585158770125,0.18261459673749908,0.3135593220338983,0.5690376569037657,11,7,0.6363636363636364,0.9785557901206379,3.137335412299075,2,0,0.0,2.663227056342599,0.8176953829116138,2.4932364571078987,16,4,-0.67875305368187,-0.9000374865663716,-0.9000374865663716,0.0001235839321396161,0.2,-1.1629342919586805,0.7777777777777778,0.9388560157790927,0.07079217607385466,0.6875,0.43454652511709374,2,2
B05_RD14-0003-40_41_42_43-1;1;1;1-M3S10-0.06IP-Q1.5_002.5sec.fsa,2,3,1.5,0.7071067811865476,1,0,0,0,0,0.6931471803599453,63.666666666666664,8.219218670625303,53.0,73.0,0.12909767545484768,1.0,0.8153846153846154,0.0,0.8153846153846154,0.8153846153846154,1,0,0.0,-0.23906314692954395,1.4999999999999998,0,0,0.0,0.665130365591232,0.6879673025582167,1.0986122883681095,2,18,-0.8967001213922299,-0.7961618680941674,-0.7961618680941674,0.0,0.9,-0.4140786749482403,2000.0,0.6666666666666667,0.0,0.5,0.12634144008388667,4,4
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.155IP-Q2.9_002.5sec.fsa,2,9,1.4285714285714286,0.5345224838248488,3,0,0,0,0,0.6829081045004717,104.5,60.23329643975996,50.0,206.0,0.5763951812417221,3.1658536585365855,0.8080336202717399,0.22830140436752358,0.4854368932038835,0.9578947368421052,3,1,0.3333333333333333,0.683360190352947,1.7413147199752188,2,0,0.0,1.7382769805913927,0.6726344434885666,1.2798542254336676,7,13,-0.6993033957034421,-1.0010943709902094,-1.0010943709902094,-0.0036827963056670575,0.65,-0.9131163107033783,6.0,0.8799999999999999,0.0,0.42857142857142855,0.5035964698508926,5,3
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.625IP-Q0.7_002.5sec.fsa,3,20,2.25,0.4472135954999579,16,4,0,0,0,0.5623351444188083,638.5833333333334,285.7170681908163,196.0,1478.0,0.4474233091856708,1.7309616453585326,0.619511239754653,0.17999606146530747,0.33676975945017185,0.6171606146652233,12,6,0.5,1.070015332011957,3.6449304972944785,2,0,0.0,2.7344666070071733,0.759146127519138,2.321879636745844,16,4,0.0018264974038397616,0.007728224399207459,0.007728224399207459,2.6377902597756377e-06,0.2,-0.07987185480623354,0.7777777777777778,0.9135802469135802,0.05373734427292522,0.75,0.34804164374934954,5,5
B06_RD14-0003-46_47_48-1;1;1-M2a-0.375IP-Q0.4_002.5sec.fsa,6,26,2.6875,1.1954775893619531,16,6,2,2,1,0.9868994484385301,536.6279069767442,305.6442698404747,183.0,1571.0,0.5695646198544058,2.116427432216906,0.606945321736374,0.24876321580524427,0.19669000636537237,0.6308744574250559,10,5,0.5,1.4235085275058463,4.826853302654129,2,0,0.0,2.752178582928789,0.8703904439822132,2.491436691064626,16,4,-0.11616056174140774,-0.5222325080803134,-0.5222325080803134,-0.0006627854012976029,0.2,-0.4712400800396385,0.7777777777777778,0.9432125473228772,0.10311182173129467,0.625,0.4321799378993246,3,5
B07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.625IP-Q1.9_002.5sec.fsa,4,22,2.375,0.7187952884282609,16,4,2,0,0,0.7356219394587946,216.55263157894737,178.27871398878736,59.0,853.0,0.823258127545743,2.4629156010230178,0.6523337720345522,0.1584425640386647,0.37631887456037516,0.635576923076923,12,4,0.3333333333333333,1.8928189852707384,6.1881523591564696,2,0,0.0,2.5780140477026072,0.8029070156575352,2.479593621139213,16,4,-0.6002252644407253,-1.4673757574221433,-1.4673757574221433,1.023309944537745e-05,0.2,-2.1086619810655907,0.7777777777777778,0.925207756232687,0.047277290133809394,0.75,0.6354317857461818,5,5
B07_RD14-0003-46_47_48-1;1;1-M2e-0.375IP-Q1.0_002.5sec.fsa,5,21,2.375,0.806225774829855,16,4,1,1,0,0.7029189304735104,205.6578947368421,161.1131142879681,57.0,617.0,0.7834034987770682,3.3862928348909658,0.5318582367202445,0.20134869941528474,0.24169184290030213,0.538743367303967,12,8,0.6666666666666666,1.2096876584381095,3.36840785028082,2,0,0.0,2.6034578872736818,0.7667625489882022,2.492178910820126,16,4,-0.6960434810364148,-1.566779913054861,-1.566779913054861,-0.001925020265800192,0.2,-1.85890376969594,0.7777777777777778,0.9362880886426592,0.05943976760357869,0.75,0.594423072767076,3,3
C01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.252IP-Q0.9_003.5sec.fsa,5,25,2.9375,1.0626225419530053,16,9,4,2,0,1.245016888852439,207.0,131.3011804973588,75.0,766.0,0.6343052197940039,1.6818181818181819,0.39767235527015776,0.11929707945163619,0.24151436031331594,0.3904282115869018,7,7,1.0,2.245369096123424,8.57232214821447,1,0,0.0,2.7362999083808353,0.9604887780758271,2.287539500229783,16,4,-0.07460455184198558,-0.1463496744191882,-0.1463496744191882,-0.0008696760335504152,0.2,-0.002390636436481001,0.7777777777777778,0.9434133091896786,0.13162210852350092,0.4375,0.48969631578536693,4,4
C01_RD14-0003-44_45-1;1-M2S30-0.126IP-Q3.0_003.5sec.fsa,3,12,1.75,0.7071067811865476,5,1,0,0,0,0.9743147525693494,96.71428571428571,35.2368082133048,52.0,171.0,0.3643392282025607,1.6452702702702702,0.6417837995250464,0.17150264751171912,0.4093567251461988,0.6747796474358974,4,2,0.5,0.811194468680721,2.4471749112037013,2,0,0.0,1.9696267902615834,0.744190032445281,2.3046193837206714,8,12,-0.4107463594182953,-0.43712582851370757,-0.43712582851370757,0.001689732663925101,0.6,-0.8136450888366499,7.0,0.9081632653061225,0.014024702895294556,0.5,0.3241999754314846,2,2
C01_RD14-0003-44_45-1;1-M3a-0.126IP-Q0.5_003.5sec.fsa,4,22,2.375,0.6191391873668903,16,5,1,0,0,0.7774621316109289,166.81578947368422,70.36628052485827,52.0,336.0,0.42182026501729203,1.714902807775378,0.5695058877431066,0.2549088939072028,0.22127659574468084,0.515625,11,6,0.5454545454545454,0.9348095975771955,2.9886138262450888,1,0,0.0,2.7505537247179896,0.7850469721695923,2.3683277119654864,16,4,-0.09540905462388853,-0.1005522379911986,-0.1005522379911986,0.0004167503002427551,0.2,-0.19644868622036674,0.7777777777777778,0.9349030470914128,0.04737966155962027,0.6875,0.32823522102055563,2,2
C02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.252IP-Q3.2_003.5sec.fsa,3,15,1.7272727272727273,0.6466697906828632,7,1,0,0,0,0.9164648852394712,103.3157894736842,61.11339988439002,52.0,284.0,0.5915204267974582,1.8278688524590163,0.6392582184476792,0.2347402774804844,0.2669683257918552,0.6485642946317104,6,3,0.5,1.6708208554576751,5.007575804778676,1,0,0.0,2.1709096258114995,0.7078590797082206,2.3510808222226047,11,9,-0.5926833482911524,-0.7343565814274273,-0.7343565814274273,0.003783365763859548,0.45,-1.0271967917284142,1.75,0.9196675900277008,0.004294340845212093,0.5454545454545454,0.49312691900396904,4,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.075IP-Q2.9_003.5sec.fsa,1,4,1.0,0.0,0,0,0,0,0,-1.000000082690371e-10,72.25,20.141685629559408,50.0,97.0,0.27877765577244856,1.6651162790697673,0.0,0.0,0.0,0.0,0,0,0.0,0.06797859611841223,1.1486599093002479,0,0,0.0,1.3470998825326048,0.0,0.6931471803599453,4,16,-0.7687372530421396,-0.6237836889584696,-0.6237836889584696,0.0,0.8,-0.6237836889584694,4000.0,0.75,0.0,0.0,0.26053444597869957,5,4
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.315IP-Q0.7_003.5sec.fsa,3,19,2.25,0.4472135954999579,16,4,0,0,0,0.5623351444188083,365.75,178.6947078430447,171.0,917.0,0.48857062978276067,1.6264940239043826,0.5703421480631936,0.17180224786528284,0.29318181818181815,0.5572892271662764,12,8,0.6666666666666666,1.542526895490308,5.020815685392953,3,0,0.0,2.725694136813761,0.7491565519647966,2.45976315905354,16,4,-0.06542981419079474,-0.1693718107286158,-0.1693718107286158,-0.0005150555330200572,0.2,-0.3187277671686836,0.7777777777777778,0.9027777777777777,0.06450779634581755,0.75,0.38002977867022253,5,5
