Sample File,NoC_True,mac_profile,total_distinct_alleles,avg_alleles_per_locus,std_alleles_per_locus,loci_gt2_alleles,loci_gt3_alleles,loci_gt4_alleles,loci_gt5_alleles,loci_gt6_alleles,allele_count_dist_entropy,avg_peak_height,std_peak_height,avg_phr,std_phr,min_phr,median_phr,num_loci_with_phr,num_severe_imbalance_loci,ratio_severe_imbalance_loci,skewness_peak_height,kurtosis_peak_height,modality_peak_height,num_saturated_peaks,ratio_saturated_peaks,inter_locus_balance_entropy,avg_locus_allele_entropy,peak_height_entropy,num_loci_with_effective_alleles,num_loci_no_effective_alleles,height_size_correlation,height_size_slope,weighted_height_size_slope,phr_size_slope,locus_dropout_score_weighted_by_size,degradation_index_rfu_per_bp,info_completeness_ratio_small_large,avg_allele_freq,num_rare_alleles,min_allele_freq,avg_locus_sum_neg_log_freq,baseline_pred,预测正确,corrected_pred
B01_RD14-0003-44_45-1;1-M2S30-0.25IP-Q3.0_002.5sec.fsa,2,8,33,3.037037037037037,3.081975908175711,15,13,12,12,9,1.6072677573954643,29.48062015503876,59.361459084261085,0.7582089552238805,0.0,0.7582089552238805,0.7582089552238805,1,0,0.0,3.1606232402748375,13.826371712681148,2,0,0.0,2.4590186860811847,1.3860475747572325,2.297113148157213,16,11,-0.41400816093581055,-0.32008564288282293,-1.2001956335893624,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
C01_RD14-0003-44_45-1;1-M2S30-0.126IP-Q3.0_003.5sec.fsa,2,14,41,3.0,3.4862366749614337,15,13,12,9,5,1.7613004639865633,19.058333333333334,32.529055101098585,0.5809151785714286,0.31646185184799724,0.35714285714285715,0.5809151785714286,2,1,0.5,2.7121301646297846,10.616903265501886,1,0,0.0,2.4994097866286045,1.401306731001866,2.4062238546281303,16,11,-0.4774688487321769,-0.215471633846109,-0.5817801796401824,-0.0035248061971894376,0,0,0,0.0,0.0,0.0,0.0,2,True,2
D01_RD14-0003-44_45-1;1-M3S30-0.062IP-Q3.1_004.5sec.fsa,2,9,35,2.6666666666666665,2.8147960713126134,15,13,11,8,6,1.7099562284895304,12.775,19.408679726851485,0.4830927559476076,0.6009746086026806,0.05813953488372093,0.4830927559476076,2,1,0.5,2.348196337147711,7.9317098203119,2,0,0.0,2.5489341060975597,1.5221446928724682,2.340811261633467,16,11,-0.4407353303326081,-0.11450164804792222,-0.31786112153066814,-0.019955539848034123,0,0,0,0.0,0.0,0.0,0.0,2,True,2
E01_RD14-0003-44_45-1;1-M4S30-0.03IP-Q3.2_001.5sec.fsa,2,9,31,2.5925925925925926,2.721131824178756,15,14,10,8,4,1.6779915537726655,7.530769230769231,8.298863713700857,0.5,0.0,0.5,0.5,1,1,1.0,2.5882018541085565,10.349441777318894,3,0,0.0,2.588372500997649,1.6601489083788712,2.2219393036804975,16,11,-0.3422145877200825,-0.04060654113907,-0.10668468357811958,0.0,0,0,0,0.0,0.0,0.0,0.0,3,False,3
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,2,8,35,2.5185185185185186,2.6219542091050854,15,13,11,7,4,1.7099562284895304,11.890625,18.1872302588434,0.425531914893617,0.0,0.425531914893617,0.425531914893617,1,1,1.0,2.9136241312573476,12.842120096150962,4,0,0.0,2.6333573660676435,1.474872602514501,2.2862685841528525,16,11,-0.34896600112986803,-0.08358795678287807,-0.2207116409440119,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
B01_RD14-0003-44_45-1;1-M3a-0.25IP-Q0.5_002.5sec.fsa,2,9,34,2.925925925925926,3.0875173736780064,15,13,12,9,7,1.793265138703428,129.24107142857142,167.20259306233748,0.5830611908296223,0.13829576465957577,0.48527131782945737,0.5830611908296223,2,1,0.5,1.1681995335206958,3.4925070799081457,2,0,0.0,2.7555594872288713,1.1354933972281602,2.2342517987126502,16,11,-0.13278070704989864,-0.2996548426009939,0.028976388587106848,-0.0015412115524060664,0,0,0,0.0,0.0,0.0,0.0,2,True,2
B02_RD14-0003-44_45-1;1-M2e-0.25IP-Q0.8_002.5sec.fsa,2,12,39,3.4074074074074074,3.7237208362197167,15,15,12,11,7,1.812644699483596,53.94326241134752,87.91845028609876,0.0,0.0,0.0,0.0,0,0,0.0,2.0920898576901816,7.174622528523813,2,0,0.0,2.6904823772319144,1.2928099248570184,2.2364068473857484,16,11,-0.3950608551810559,-0.4707576989360276,-1.0560242042702006,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
C01_RD14-0003-44_45-1;1-M3a-0.126IP-Q0.5_003.5sec.fsa,2,9,31,2.814814814814815,2.922552059640776,15,14,12,9,5,1.7613004639865633,67.41121495327103,87.04281675422713,0.6571428571428571,0.0,0.6571428571428571,0.6571428571428571,1,0,0.0,1.3228085991592922,4.005388058984048,2,0,0.0,2.760629107024169,1.124693360851592,2.3693862694040013,16,11,-0.11111873148259747,-0.12192621134063959,-0.14378570427553147,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
D01_RD14-0003-44_45-1;1-M3a-0.062IP-Q0.5_004.5sec.fsa,2,11,37,3.1481481481481484,3.359300564834931,15,14,14,8,7,1.6905766675093619,37.2589928057554,56.26378583138233,0.7808988764044944,0.0,0.7808988764044944,0.7808988764044944,1,0,0.0,1.8270221524956902,5.895051655644735,2,0,0.0,2.7411961216311447,1.2868880142400327,2.338949626030259,16,11,-0.039641396676250974,-0.030430346483101542,0.20699656989767662,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
D02_RD14-0003-44_45-1;1-M4e-0.062IP-Q1.3_004.5sec.fsa,2,12,39,3.4074074074074074,3.5546206035704624,15,15,14,12,8,1.7293357892696988,15.653333333333334,27.051277846150256,0.0,0.0,0.0,0.0,0,0,0.0,3.8148312974733676,21.039119613909676,2,0,0.0,2.6600045406613595,1.544779477103957,2.241463965637492,16,11,-0.3176930735315833,-0.11959192389539433,-0.47506095071461174,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
E01_RD14-0003-44_45-1;1-M4a-0.031IP-Q0.5_001.5sec.fsa,2,9,35,2.925925925925926,3.075035033270427,15,13,12,10,6,1.7613004639865633,26.466666666666665,39.67259565415874,0.7075471698113207,0.0,0.7075471698113207,0.7075471698113207,1,0,0.0,2.2927928333371947,10.17815970608046,2,0,0.0,2.714487956934249,1.2035858944920421,2.3165289322254616,16,11,-0.04237534488991483,-0.023368123450259216,0.03966097157452284,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
E02_RD14-0003-44_45-1;1-M4e-0.031IP-Q1.3_001.5sec.fsa,2,6,33,2.3703703703703702,2.322931638256149,15,15,10,6,3,1.443876845648228,11.428571428571429,16.16397634476527,0.0,0.0,0.0,0.0,0,0,0.0,2.62783728357945,9.974621446925108,3,0,0.0,2.642946588445671,1.4557116450798429,2.3002962543926393,16,11,-0.259570116459824,-0.05631325566226717,-0.16795665202418417,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
F01_RD14-0003-44_45-1;1-M2d-0.25IP-Q0.7_002.5sec.fsa,2,9,33,3.3703703703703702,3.3414431261420816,15,14,14,13,10,1.64925378773636,92.5,137.47951011870583,0.754,0.0,0.754,0.754,1,0,0.0,1.685791007496628,5.2369134071735335,2,0,0.0,2.700464390791751,1.1610972257488081,2.315475858573088,16,11,-0.27860870714831143,-0.508084869982738,-1.0656772218755417,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
G01_RD14-0003-44_45-1;1-M3d-0.126IP-Q0.5_003.5sec.fsa,2,10,34,3.2962962962962963,3.3605724651385356,15,14,14,11,9,1.6905766676093616,51.312,77.51050043329197,0.8112449799196787,0.0,0.8112449799196787,0.8112449799196787,1,0,0.0,1.7524171451100514,5.452384422228365,2,0,0.0,2.6816918258298457,1.2118737700225057,2.327817752401,16,11,-0.3270513541781222,-0.36267196671071594,-0.6096135825635153,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
H01_RD14-0003-44_45-1;1-M4d-0.062IP-Q0.9_004.5sec.fsa,2,13,35,3.074074074074074,3.3503837429571,15,14,13,11,5,1.6198528711321605,26.28,38.7101720398507,0.9927536231884058,0.0,0.9927536231884058,0.9927536231884058,1,0,0.0,1.9340690924548,6.17147422079259,2,0,0.0,2.7016429570061207,1.2605058791564427,2.4458400088124126,16,11,-0.34978083791737513,-0.19852274708640258,-0.3128012744069504,0.0,0,0,0,0.0,0.0,0.0,0.0,2,True,2
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,3,9,31,2.5555555555555554,2.6937724952954465,15,14,11,7,2,1.5659448775224625,12.678571428571429,17.22464936329752,0.07575757575757576,0.0,0.07575757575757576,0.07575757575757576,1,1,1.0,2.791890023096344,12.832376077489453,3,0,0.0,2.609215760614855,1.513372395628964,2.405345478740082,16,11,-0.3595281980685786,-0.08403296329095165,-0.2061383167696668,0.0,0,0,0,0.0,0.0,0.0,0.0,3,True,3
F02_RD14-0003-46_47_48-1;1;1-M2S10-0.375IP-Q1.2_002.5sec.fsa,3,12,39,3.3333333333333335,3.689903063141986,15,14,14,10,6,1.7293357892696988,67.77868852459017,117.67039779517226,0.8729166666666667,0.0,0.8729166666666667,0.8729166666666667,1,0,0.0,2.541229555255506,9.3802435744329,2,0,0.0,2.5935227095451276,1.3303817982782205,2.487558157188739,16,11,-0.419053856258479,-0.6992802994547175,-1.730046497235056,0.0,0,0,0,0.0,0.0,0.0,0.0,3,True,3
