Sample File,NoC_True,max_allele_per_sample,total_alleles_per_sample,avg_alleles_per_marker,markers_gt2_alleles,markers_gt3_alleles,markers_gt4_alleles,avg_peak_height,std_peak_height
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,2,17,130,8.125,15,14,13,11.815384615384616,17.98793810195497
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,3,12,112,7.0,15,14,14,12.678571428571429,17.14758119433544
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,5,24,132,8.25,15,14,13,45.50757575757576,85.47243895780544
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,5,17,126,7.875,16,14,14,16.166666666666668,21.606418064716365
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,3,26,140,8.75,15,15,15,19.84285714285714,25.101585444683263
B01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.5IP-Q0.9_002.5sec.fsa,4,15,143,8.9375,15,15,14,161.8881118881119,217.74810958835477
B01_RD14-0003-44_45-1;1-M2S30-0.25IP-Q3.0_002.5sec.fsa,2,20,133,8.3125,15,15,14,28.93233082706767,58.32540238815483
B01_RD14-0003-44_45-1;1-M3a-0.25IP-Q0.5_002.5sec.fsa,2,17,125,7.8125,15,14,14,118.288,160.8330720218948
B02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.5IP-Q3.2_002.5sec.fsa,4,30,165,10.3125,15,14,14,37.72121212121212,71.08224752835463
B02_RD14-0003-44_45-1;1-M2e-0.25IP-Q0.8_002.5sec.fsa,2,26,147,9.1875,16,15,14,52.29251700680272,86.1769427063231
B05_RD14-0003-40_41_42_43-1;1;1;1-M3S10-0.06IP-Q1.5_002.5sec.fsa,4,18,127,7.9375,15,15,13,10.740157480314961,11.272719909073777
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.155IP-Q2.9_002.5sec.fsa,5,21,148,9.25,15,15,14,17.385135135135137,30.05682088542458
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.625IP-Q0.7_002.5sec.fsa,5,18,138,8.625,15,15,15,233.17391304347825,298.69141928945976
B06_RD14-0003-46_47_48-1;1;1-M2a-0.375IP-Q0.4_002.5sec.fsa,3,14,129,8.0625,15,15,14,219.70542635658916,297.57618796700325
B07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.625IP-Q1.9_002.5sec.fsa,5,25,150,9.375,15,15,14,77.22,126.57002646756459
B07_RD14-0003-46_47_48-1;1;1-M2e-0.375IP-Q1.0_002.5sec.fsa,3,21,145,9.0625,15,15,15,70.39310344827587,120.14429810120278
C01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.252IP-Q0.9_003.5sec.fsa,4,17,138,8.625,15,15,14,86.51449275362319,119.02668288764269
C01_RD14-0003-44_45-1;1-M2S30-0.126IP-Q3.0_003.5sec.fsa,2,20,121,7.5625,14,14,10,18.983471074380166,32.26952185645466
C01_RD14-0003-44_45-1;1-M3a-0.126IP-Q0.5_003.5sec.fsa,2,14,116,7.25,15,15,13,63.25,84.45748522389728
C02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.252IP-Q3.2_003.5sec.fsa,4,21,149,9.3125,15,15,15,22.114093959731544,39.40029131520115
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.075IP-Q2.9_003.5sec.fsa,5,14,127,7.9375,15,15,13,10.88976377952756,13.733818450654521
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.315IP-Q0.7_003.5sec.fsa,5,18,139,8.6875,16,15,15,129.10071942446044,174.25786296531305
C06_RD14-0003-46_47_48-1;1;1-M3a-0.189IP-Q0.5_003.5sec.fsa,3,17,131,8.1875,15,15,14,102.7557251908397,156.53159043177212
