Sample File,NoC_True,max_allele_per_sample,total_alleles_per_sample,avg_alleles_per_marker,markers_gt2_alleles,markers_gt3_alleles,markers_gt4_alleles,avg_peak_height,std_peak_height,avg_phr,std_phr,min_phr,median_phr,num_loci_with_phr,num_severely_imbalanced_loci,ratio_severely_imbalanced_loci,skewness_peak_height,kurtosis_peak_height,inter_locus_balance_entropy,height_size_correlation,height_size_slope,avg_locus_allele_entropy,peak_height_entropy,num_loci_with_alleles,num_loci_no_effective_alleles,baseline_pred
B01_RD14-0003-44_45-1;1-M2S30-0.25IP-Q3.0_002.5sec.fsa,2,4,26,2.3636363636363638,5,2,0,121.53846153846153,82.64392573890994,0.5492509934603711,0.2814839915946939,0.22916666666666666,0.660377358490566,3,1.0,0.3333333333333333,1.2569470991186742,0.642247960406118,3.1421881637991476,-0.5787217444322756,-1.099980254046846,1.0686261365603154,2.724129026400548,11,12,2
C01_RD14-0003-44_45-1;1-M2S30-0.126IP-Q3.0_003.5sec.fsa,2,4,28,2.3333333333333335,5,2,0,64.89285714285714,41.917325407427526,0.5619050509920894,0.28891764892845717,0.18796992481203006,0.6274813895781638,4,2.0,0.5,1.0323178514113271,0.2176483235828064,3.2010489331945173,-0.5964305040435308,-0.5159980073991336,1.0629072918469558,2.704003029572565,12,11,2
D01_RD14-0003-44_45-1;1-M3S30-0.062IP-Q3.1_004.5sec.fsa,2,4,22,2.2,4,1,0,48.72727272727273,20.575486612730433,0.8264178024506839,0.13002849132480557,0.6764705882352942,0.8947368421052632,3,0.0,0.0,0.5604721436817162,-0.8432191680843348,3.121575877653953,-0.6189574876855835,-0.31508511797107164,0.9754887502163468,3.0837651410695517,10,13,2
E01_RD14-0003-44_45-1;1-M4S30-0.03IP-Q3.2_001.5sec.fsa,2,2,6,1.2,0,0,0,35.666666666666664,7.659416862050704,0.8108108108108109,0.0,0.8108108108108109,0.8108108108108109,1,0.0,0.0,1.209922356148357,0.12027892561983622,2.2483600294311517,-0.3240789831186726,-0.1308194265015216,0.2,1.4591479170272448,5,18,5
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,2,3,23,1.6428571428571428,2,0,0,44.30434782608695,22.618244411031423,0.6365998894722299,0.15542023077741507,0.425531914893617,0.7142857142857143,5,1.0,0.2,1.4818747981382596,1.810343117861434,3.5066222071468607,-0.4495006237251975,-0.13607414313592753,0.5835660715315937,2.7029400873210467,14,9,2
B01_RD14-0003-44_45-1;1-M3a-0.25IP-Q0.5_002.5sec.fsa,2,4,47,2.9375,11,4,0,298.74468085106383,129.58956414053975,0.6233883437975195,0.22609169990447833,0.3466666666666667,0.6577540106951871,5,2.0,0.4,0.9551730413574794,0.3689442534166578,3.9746323313320637,-0.027940589683746717,-0.051876609085914724,1.505921094065506,2.9234238958744867,16,7,2
B02_RD14-0003-44_45-1;1-M2e-0.25IP-Q0.8_002.5sec.fsa,2,4,45,2.8125,10,3,0,156.57777777777778,93.35014458986926,0.640081344526989,0.2596188027562033,0.3135593220338983,0.6306593095642332,6,2.0,0.3333333333333333,1.144847804699125,0.5553952014796972,3.8459513649568735,-0.627129296333282,-0.8416357384161511,1.443421094065506,2.74426053329759,16,7,2
C01_RD14-0003-44_45-1;1-M3a-0.126IP-Q0.5_003.5sec.fsa,2,4,47,2.9375,11,4,0,147.59574468085106,75.6127604754383,0.629257945902095,0.2223182657954756,0.3125,0.6571428571428571,5,1.0,0.2,0.9313377772135735,0.1299112677901162,3.981775499737371,-0.10171837621435226,-0.11022248450895188,1.505921094065506,2.9628114574622098,16,7,2
D01_RD14-0003-44_45-1;1-M3a-0.062IP-Q0.5_004.5sec.fsa,2,4,46,2.875,11,3,0,103.47826086956522,54.68363116059698,0.6996126541159071,0.2188018725626683,0.46808510638297873,0.7808988764044944,5,2.0,0.4,1.032360319425823,0.471850515135368,3.946633333047238,0.23196767754516615,0.18238246272086375,1.479981250360578,2.8436241873647616,16,7,2
D02_RD14-0003-44_45-1;1-M4e-0.062IP-Q1.3_004.5sec.fsa,2,4,33,2.2,5,1,0,52.484848484848484,39.52461354343108,0.6305811768177769,0.21919687317108683,0.3333333333333333,0.5869565217391305,7,2.0,0.2857142857142857,2.1081288155941227,4.1714079479754815,3.6802185562589584,-0.44284884798869845,-0.2571821918677616,1.022656666858975,2.0779322933638333,15,8,4
