Sample File,Marker,Parent_Allele_Raw,Parent_Allele_Numeric,Parent_Size,Parent_Height_Corrected,Candidate_Stutter_Allele,Candidate_Stutter_Size,Candidate_Stutter_Height_Corrected,Observed_SR,Marker_L_Repeat,Marker_SR_Max_N_Minus_1,ESR_Model_Type,ESR_m,ESR_c,Expected_SR,Expected_Stutter_Height,Assumed_CV_Hs,Calculated_Sigma_Hs,Z_Score,Calculated_Stutter_Score_for_this_Pair
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,CSF1PO,12,12.0,326.78,40.0,11,322.7,31.0,0.775,4,0.3,Allele Regression,0.01144,-0.05766,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,CSF1PO,OL,-3.0,303.93,3.0,OL,300.32,3.0,1.0,4,0.3,Allele Regression,0.01144,-0.05766,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,CSF1PO,OL,-3.0,307.74,3.0,OL,303.93,3.0,1.0,4,0.3,Allele Regression,0.01144,-0.05766,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,CSF1PO,11,11.0,322.7,31.0,10,318.56,3.0,0.0967741935483871,4,0.3,Allele Regression,0.01144,-0.05766,0.06818,2.1135800000000002,0.25,0.5283950000000001,1.6775707567255551,0.24484698320298814
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,CSF1PO,OL,-3.0,319.73,2.0,OL,315.96,2.0,1.0,4,0.3,Allele Regression,0.01144,-0.05766,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D19S433,14,14.0,120.15,49.0,13,116.15,42.0,0.8571428571428571,4,0.3,Allele Average,0.0,0.08044,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D19S433,11,11.0,108.11,52.0,10,103.87,5.0,0.09615384615384616,4,0.3,Allele Average,0.0,0.08044,0.08044,4.18288,0.25,1.04572,0.781394637187775,0.7369105316262431
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D21S11,28,28.0,198.63,25.0,27,194.67,4.0,0.16,4,0.3,Allele Average,0.0,0.0899,0.0899,2.2475,0.25,0.561875,3.1190211345939933,0.00771841367153311
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D2S1338,OL,-3.0,328.59,4.0,20,324.78,4.0,1.0,4,0.3,Allele Average,0.0,0.09165,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D2S1338,16,16.0,308.66,60.0,OL,304.26,3.0,0.05,4,0.3,Allele Average,0.0,0.09165,0.09165,5.499,0.25,1.37475,-1.8177850518276049,0.1916333731350169
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D3S1358,17,17.0,130.24,57.0,16,126.4,16.0,0.2807017543859649,4,0.3,Allele Average,0.0,0.0986,0.0986,5.6202,0.25,1.40505,7.387495106935696,4.2295323318397263e-13
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D3S1358,15,15.0,122.3,110.0,14,118.15,9.0,0.08181818181818182,4,0.3,Allele Average,0.0,0.0986,0.0986,10.846,0.25,2.7115,-0.6808039830352204,0.7931467389461788
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D8S1179,OL,-3.0,120.15,3.0,OL,116.3,3.0,1.0,4,0.3,Allele Average,0.0,0.08246,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,D8S1179,12,12.0,137.77,2.0,11,133.57,2.0,1.0,4,0.3,Allele Average,0.0,0.08246,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,FGA,24,24.0,241.44,20.0,23,237.21,16.0,0.8,4,0.3,Allele Average,0.0,0.08296,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,TH01,7,7.0,172.55,40.0,6,168.44,17.0,0.425,4,0.3,LUS Regression,0.00185,0.00801,0.02096,0.8384,0.25,0.2096,77.10687022900763,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,TH01,13.3,13.3,200.08,2.0,OL,196.04,2.0,1.0,4,0.3,LUS Regression,0.00185,0.00801,,,,,,0.0
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,TPOX,8,8.0,229.19,7.0,7,224.79,6.0,0.8571428571428571,4,0.3,Allele Regression,0.00611,-0.02772,,,,,,0.0
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D13S317,12,12.0,231.31,50.0,11,227.21,30.0,0.6,4,0.3,Allele Average,0.0,0.05638,0.05638,2.819,0.25,0.70475,38.56828662646328,0.0
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D16S539,12,12.0,279.29,12.0,11,275.22,12.0,1.0,4,0.3,Allele Regression,0.0118,-0.0595,,,,,,0.0
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D16S539,OL,-3.0,264.21,3.0,7,259.91,2.0,0.6666666666666666,4,0.3,Allele Regression,0.0118,-0.0595,,,,,,0.0
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D21S11,30,30.0,206.64,9.0,29,202.81,8.0,0.8888888888888888,4,0.3,Allele Average,0.0,0.0899,,,,,,0.0
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D21S11,27,27.0,194.65,19.0,26,190.86,3.0,0.15789473684210525,4,0.3,Allele Average,0.0,0.0899,0.0899,1.7081,0.25,0.427025,3.0253498038756517,0.010292181826844268
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D21S11,29,29.0,202.81,8.0,28,198.62,3.0,0.375,4,0.3,Allele Average,0.0,0.0899,0.0899,0.7192,0.25,0.1798,12.685205784204674,3.4276251649729197e-36
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D5S818,13,13.0,157.09,18.0,12,152.91,18.0,1.0,4,0.3,Allele Average,0.0,0.07378,,,,,,0.0
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D5S818,14,14.0,161.27,26.0,13,157.09,18.0,0.6923076923076923,4,0.3,Allele Average,0.0,0.07378,,,,,,0.0
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,D8S1179,14,14.0,146.14,43.0,13,142.01,35.0,0.813953488372093,4,0.3,Allele Average,0.0,0.08246,,,,,,0.0
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,FGA,22,22.0,233.32,24.0,21,228.95,7.0,0.2916666666666667,4,0.3,Allele Average,0.0,0.08296,0.08296,1.9910400000000001,0.25,0.49776000000000004,10.063002250080359,3.0755298395980633e-23
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,TH01,9,9.0,180.86,31.0,8,176.43,5.0,0.16129032258064516,4,0.3,LUS Regression,0.00185,0.00801,0.02466,0.76446,0.25,0.191115,22.162258326138712,2.2116921319310833e-107
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D13S317,12,12.0,231.18,82.0,11,227.17,78.0,0.9512195121951219,4,0.3,Allele Average,0.0,0.05638,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D13S317,11,11.0,227.17,78.0,10,223.33,13.0,0.16666666666666666,4,0.3,Allele Average,0.0,0.05638,0.05638,4.39764,0.25,1.09941,7.824524062906469,5.0764027791347783e-14
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D16S539,12,12.0,279.31,56.0,11,275.29,30.0,0.5357142857142857,4,0.3,Allele Regression,0.0118,-0.0595,0.0821,4.5976,0.25,1.1494,22.10057421263268,4.330865929595661e-108
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D16S539,11,11.0,275.29,30.0,10,271.28,26.0,0.8666666666666667,4,0.3,Allele Regression,0.0118,-0.0595,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D19S433,16,16.0,128.1,108.0,15,124.15,103.0,0.9537037037037037,4,0.3,Allele Average,0.0,0.08044,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D19S433,13.2,13.2,118.26,125.0,12.2,114.3,89.0,0.712,4,0.3,Allele Average,0.0,0.08044,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D19S433,13,13.0,116.28,261.0,12,112.2,84.0,0.3218390804597701,4,0.3,Allele Average,0.0,0.08044,0.08044,20.99484,0.25,5.24871,12.003932394817014,1.5396478197754777e-32
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D19S433,15,15.0,124.15,103.0,14,120.23,76.0,0.7378640776699029,4,0.3,Allele Average,0.0,0.08044,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D21S11,29,29.0,202.68,71.0,28,198.67,31.0,0.43661971830985913,4,0.3,Allele Average,0.0,0.0899,0.0899,6.382899999999999,0.25,1.5957249999999998,15.426906265177273,6.285960578733127e-53
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D2S1338,23,23.0,337.25,26.0,22,333.19,25.0,0.9615384615384616,4,0.3,Allele Average,0.0,0.09165,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D3S1358,18,18.0,134.52,81.0,17,130.44,57.0,0.7037037037037037,4,0.3,Allele Average,0.0,0.0986,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D3S1358,15,15.0,122.3,531.0,14,118.33,38.0,0.07156308851224105,4,0.3,Allele Average,0.0,0.0986,0.0986,52.35659999999999,0.25,13.089149999999998,-1.0968321090368738,0.5479778910171907
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D3S1358,OL,-3.0,98.99,4.0,OL,94.8,4.0,1.0,4,0.3,Allele Average,0.0,0.0986,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D5S818,11,11.0,148.84,115.0,10,144.78,75.0,0.6521739130434783,4,0.3,Allele Average,0.0,0.07378,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D8S1179,13,13.0,142.02,205.0,12,137.85,175.0,0.8536585365853658,4,0.3,Allele Average,0.0,0.08246,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D8S1179,12,12.0,137.85,175.0,11,133.73,116.0,0.6628571428571428,4,0.3,Allele Average,0.0,0.08246,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,D8S1179,11,11.0,133.73,116.0,10,129.66,7.0,0.0603448275862069,4,0.3,Allele Average,0.0,0.08246,0.08246,9.56536,0.25,2.39134,-1.0727709150518119,0.5624693034199314
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,FGA,21,21.0,229.09,55.0,20,225.08,20.0,0.36363636363636365,4,0.3,Allele Average,0.0,0.08296,0.08296,4.5628,0.25,1.1407,13.533093714385904,5.102360456454471e-41
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,FGA,23,23.0,237.22,22.0,22,233.19,17.0,0.7727272727272727,4,0.3,Allele Average,0.0,0.08296,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,FGA,20,20.0,225.08,20.0,19,221.16,16.0,0.8,4,0.3,Allele Average,0.0,0.08296,,,,,,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,FGA,19,19.0,221.16,16.0,18,216.87,6.0,0.375,4,0.3,Allele Average,0.0,0.08296,0.08296,1.32736,0.25,0.33184,14.081002892960461,2.644415483415504e-44
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,TH01,7,7.0,172.72,139.0,6,168.63,55.0,0.39568345323741005,4,0.3,LUS Regression,0.00185,0.00801,0.02096,2.91344,0.25,0.72836,71.5121093964523,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,TH01,9,9.0,180.83,127.0,8,176.72,51.0,0.4015748031496063,4,0.3,LUS Regression,0.00185,0.00801,0.02466,3.1318200000000003,0.25,0.7829550000000001,61.137843171063466,0.0
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,TPOX,6,6.0,220.75,42.0,5,216.45,5.0,0.11904761904761904,4,0.3,Allele Regression,0.00611,-0.02772,0.008939999999999997,0.37547999999999987,0.25,0.09386999999999997,49.2651539362949,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,D13S317,OL,-3.0,236.72,8.0,OL,232.98,6.0,0.75,4,0.3,Allele Average,0.0,0.05638,,,,,,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,D19S433,13,13.0,116.07,83.0,12,112.07,54.0,0.6506024096385542,4,0.3,Allele Average,0.0,0.08044,,,,,,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,D19S433,16,16.0,127.82,27.0,15,123.86,20.0,0.7407407407407407,4,0.3,Allele Average,0.0,0.08044,,,,,,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,D19S433,12,12.0,112.07,54.0,11,107.9,8.0,0.14814814814814814,4,0.3,Allele Average,0.0,0.08044,0.08044,4.34376,0.25,1.08594,3.366889515074498,0.003454862902803224
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,D2S1338,OL,-3.0,306.51,6.0,OL,302.57,6.0,1.0,4,0.3,Allele Average,0.0,0.09165,,,,,,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,D7S820,OL,-3.0,277.36,7.0,OL,273.45,6.0,0.8571428571428571,4,0.3,Allele Regression,0.01048,-0.05172,,,,,,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,D8S1179,13,13.0,141.72,61.0,12,137.58,38.0,0.6229508196721312,4,0.3,Allele Average,0.0,0.08246,,,,,,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,D8S1179,12,12.0,137.58,38.0,11,133.35,27.0,0.7105263157894737,4,0.3,Allele Average,0.0,0.08246,,,,,,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,FGA,OL,-3.0,238.2,7.0,OL,234.54,7.0,1.0,4,0.3,Allele Average,0.0,0.08296,,,,,,0.0
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,TH01,9,9.0,180.54,62.0,8,176.54,9.0,0.14516129032258066,4,0.3,LUS Regression,0.00185,0.00801,0.02466,1.52892,0.25,0.38223,19.54603249352484,1.0951261909895564e-83
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,TPOX,OL,-3.0,248.25,9.0,OL,243.77,6.0,0.6666666666666666,4,0.3,Allele Regression,0.00611,-0.02772,,,,,,0.0
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,CSF1PO,12,12.0,326.95,62.0,11,322.97,27.0,0.43548387096774194,4,0.3,Allele Regression,0.01144,-0.05766,0.07962000000000001,4.936440000000001,0.25,1.2341100000000003,17.878114592702428,1.1776171240359813e-70
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,D13S317,12,12.0,231.26,66.0,11,227.01,6.0,0.09090909090909091,4,0.3,Allele Average,0.0,0.05638,0.05638,3.72108,0.25,0.93027,2.4497403979489825,0.04975650805925892
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,D13S317,OL,-3.0,241.27,4.0,OL,237.55,4.0,1.0,4,0.3,Allele Average,0.0,0.05638,,,,,,0.0
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,D18S51,15,15.0,293.15,66.0,14,288.66,7.0,0.10606060606060606,4,0.3,Allele Regression,0.00879,-0.04708,0.08477,5.5948199999999995,0.25,1.3987049999999999,1.00462928208593,0.60372287822908
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,D21S11,32.2,32.2,216.74,28.0,31.2,212.79,12.0,0.42857142857142855,4,0.3,Allele Average,0.0,0.0899,0.0899,2.5172,0.25,0.6293,15.068806610519628,1.4781857818356351e-50
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,D21S11,OL,-3.0,237.96,5.0,OL,234.36,3.0,0.6,4,0.3,Allele Average,0.0,0.0899,,,,,,0.0
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,D7S820,13,13.0,282.37,5.0,OL,278.84,5.0,1.0,4,0.3,Allele Regression,0.01048,-0.05172,,,,,,0.0
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,D8S1179,14,14.0,146.09,68.0,13,142.08,55.0,0.8088235294117647,4,0.3,Allele Average,0.0,0.08246,,,,,,0.0
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,FGA,OL,-3.0,268.37,9.0,OL,264.26,9.0,1.0,4,0.3,Allele Average,0.0,0.08296,,,,,,0.0
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,FGA,31.2,31.2,271.91,9.0,OL,268.37,9.0,1.0,4,0.3,Allele Average,0.0,0.08296,,,,,,0.0
