NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,Predicted_CA,delta_GR
AUS,1896,2,9,1,8,Australia,2,0,0,2,Greece,1.0,0,0,0,2,0.0001199976000479,0.0166666666666666,1.0,23.5,0.2222222222222222,2.0,0.0,1.0,1.4,0.07,0.7692307692307693,23.008642266254785,-10.568224124286,0.0
AUT,1896,3,9,3,7,Austria,2,1,2,5,Greece,0.4,0,0,0,5,0.0002999940001199,0.0416666666666666,0.4,9.4,0.3333333333333333,1.6666666666666667,0.0,1.0,1.4,0.07,0.7692307692307693,24.45811089380305,-4.60650215890041,0.0
DEN,1896,5,9,3,9,Denmark,1,2,3,6,Greece,0.1666666666666666,0,0,0,6,0.0003599928001439,0.05,0.1666666666666666,7.833333333333333,0.5555555555555556,2.0,0.0,1.0,1.6,0.0444444444444444,0.8333333333333334,36.12694629260157,4.233594295459961,0.0
FRA,1896,6,9,12,4,France,5,4,2,11,Greece,0.4545454545454545,0,1,0,11,0.0006599868002639,0.0916666666666666,0.4545454545454545,4.2727272727272725,0.6666666666666666,0.9166666666666666,0.0,1.0,2.0,0.2333333333333333,1.0,29.31495216890616,0.39715658771199,0.0
GBR,1896,7,9,10,5,Great Britain,2,3,2,7,Greece,0.2857142857142857,0,0,0,7,0.0004199916001679,0.0583333333333333,0.2857142857142857,6.714285714285714,0.7777777777777778,0.7,0.0,1.0,1.4,0.07,0.7692307692307693,31.04615669066324,-7.682597994728827,0.0
GER,1896,6,9,19,3,Germany,6,5,2,13,Greece,0.4615384615384615,0,0,0,13,0.0007799844003119,0.1083333333333333,0.4615384615384615,3.615384615384616,0.6666666666666666,0.6842105263157895,0.0,1.0,2.0,0.1777777777777777,1.0,26.97093754215111,-41.63651798132607,0.0
GRE,1896,9,9,102,2,Greece,10,18,19,47,Greece,0.2127659574468085,0,0,1,47,0.0028199436011279,0.3916666666666666,0.2127659574468085,1.0,1.0,0.4607843137254901,0.0,1.0,2.0,0.1,1.0,37.08113470678231,98.5163463163129,0.0
HUN,1896,6,9,7,6,Hungary,2,1,3,6,Greece,0.3333333333333333,0,0,0,6,0.0003599928001439,0.05,0.3333333333333333,7.833333333333333,0.6666666666666666,0.8571428571428571,0.0,1.0,1.4,0.07,0.7692307692307693,28.508939378615352,-3.996334119616552,0.0
SUI,1896,2,9,3,10,Switzerland,1,2,0,3,Greece,0.3333333333333333,0,0,0,3,0.0001799964000719,0.025,0.3333333333333333,15.666666666666666,0.2222222222222222,1.0,0.0,1.0,1.6,0.0444444444444444,0.8333333333333334,13.201203086671027,-8.137177456672092,0.0
USA,1896,3,9,14,1,United States,11,7,2,20,Greece,0.55,0,0,0,20,0.0011999760004799,0.1666666666666666,0.55,2.35,0.3333333333333333,1.4285714285714286,0.0,1.0,2.0,0.0,1.0,22.409153557369542,59.15392150484157,0.0
AUS,1900,2,20,2,9,Australia,2,0,3,5,France,0.4,0,0,0,7,0.0004199916001679,0.0188679245283018,0.4,20.6,0.1,2.5,0.125,1.0,2.0,0.2639097744360902,1.0,23.611755730827653,-1.851005492263826,0.0
AUT,1900,4,20,16,16,Austria,0,3,3,6,France,0.0,0,0,0,11,0.0006599868002639,0.0226415094339622,0.0,17.166666666666668,0.2,0.375,1.2857142857142858,1.0,1.5,0.0112781954887218,0.8,4.01127120899864,1.3874560239594231,0.0
BEL,1900,10,20,64,5,Belgium,6,7,4,17,France,0.3529411764705882,0,0,0,17,0.0010199796004079,0.0641509433962264,0.3529411764705882,6.0588235294117645,0.5,0.265625,0.0,1.0,1.9,0.1052631578947368,0.9523809523809524,16.423034641970546,7.0704375557895744,0.0
BOH,1900,4,20,7,20,Bohemia,0,1,1,2,France,0.0,0,0,0,2,0.0001199976000479,0.0075471698113207,0.0,51.5,0.2,0.2857142857142857,0.0,0.7777777777777778,1.5,0.0112781954887218,0.8,3.092602330728293,-2.7862973246840683,0.0
CAN,1900,1,20,4,13,Canada,1,0,1,2,France,0.5,0,0,0,2,0.0001199976000479,0.0075471698113207,0.5,51.5,0.05,0.5,0.0,1.0,1.5,0.0537593984962406,0.8,-0.2273248902718521,-3.902067098752028,0.0
CUB,1900,1,20,1,12,Cuba,1,1,0,2,France,0.5,0,0,0,2,0.0001199976000479,0.0075471698113207,0.5,51.5,0.05,2.0,0.0,1.0,1.5,0.0537593984962406,0.8,15.132297026529889,-4.619889729377912,0.0
DEN,1900,5,20,13,10,Denmark,1,3,2,6,France,0.1666666666666666,0,0,0,12,0.0007199856002879,0.0226415094339622,0.1666666666666666,17.166666666666668,0.25,0.4615384615384615,0.1111111111111111,1.0,1.5,0.0537593984962406,0.8,8.462483245324188,-0.2777848373211391,0.0
ESP,1900,4,20,9,14,Spain,1,0,0,1,France,1.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,1.0,103.0,0.2,0.1111111111111111,0.0,1.0,1.5,0.0537593984962406,0.8,-1.5374903456041151,-4.372398938152988,
FRA,1900,19,20,715,1,France,27,39,37,103,France,0.2621359223300971,0,0,1,114,0.0068398632027359,0.3886792452830189,0.2621359223300971,1.0,0.95,0.144055944055944,-0.75,0.985060690943044,2.0,0.0,1.0,33.10259315572295,124.69406331439056,-0.014939309056955952
GBR,1900,16,20,104,3,Great Britain,15,7,9,31,France,0.4838709677419355,0,0,0,38,0.0022799544009119,0.1169811320754717,0.4838709677419355,3.3225806451612905,0.8,0.2980769230769231,-0.4,0.9863013698630136,2.0,0.0947368421052631,1.0,28.52278345721914,22.016105459958577,-0.013698630136986356
GER,1900,10,20,76,7,Germany,4,3,2,9,France,0.4444444444444444,0,0,0,22,0.0013199736005279,0.0339622641509433,0.4444444444444444,11.444444444444445,0.5,0.1184210526315789,1.3333333333333333,1.0,2.0,0.2236842105263158,1.0,12.658070717408282,2.0841335238937404,0.0
HUN,1900,4,20,18,11,Hungary,1,2,2,5,France,0.2,0,0,0,11,0.0006599868002639,0.0188679245283018,0.2,20.6,0.2,0.2777777777777778,0.8333333333333334,1.0,1.5,0.0537593984962406,0.8,3.491398934850265,-1.3447400931390892,0.0
IND,1900,1,20,1,19,India,0,2,0,2,France,0.0,0,0,0,2,0.0001199976000479,0.0075471698113207,0.0,51.5,0.05,2.0,0.0,1.0,1.5,0.0112781954887218,0.8,15.132297026529889,-3.56753810609451,
ITA,1900,6,20,23,8,Italy,3,2,0,5,France,0.6,0,0,0,5,0.0002999940001199,0.0188679245283018,0.6,20.6,0.3,0.217391304347826,0.0,0.9722222222222222,2.0,0.2394736842105263,1.0,7.774418278498426,-2.8484734300764423,
LUX,1900,1,20,1,14,Luxembourg,1,0,0,1,France,1.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,1.0,103.0,0.05,1.0,0.0,1.0,1.5,0.0537593984962406,0.8,2.05034890391504,-4.3294799403073485,
NED,1900,7,20,35,17,Netherlands,0,2,3,5,France,0.0,0,0,0,5,0.0002999940001199,0.0188679245283018,0.0,20.6,0.35,0.1428571428571428,0.0,1.0,1.5,0.0112781954887218,0.8,8.849260226043397,-0.1660533438352187,
NOR,1900,2,20,7,17,Norway,0,2,3,5,France,0.0,0,0,0,5,0.0002999940001199,0.0188679245283018,0.0,20.6,0.1,0.7142857142857143,0.0,1.0,1.5,0.0112781954887218,0.8,5.510279893443405,0.2681285203370374,
SUI,1900,4,20,18,6,Switzerland,6,2,1,9,France,0.6666666666666666,0,0,0,12,0.0007199856002879,0.0339622641509433,0.6666666666666666,11.444444444444445,0.2,0.5,-0.4,0.9423076923076924,1.9,0.1052631578947368,0.9523809523809524,8.08555688934585,0.3778720559605677,-0.0576923076923076
SWE,1900,4,20,10,21,Sweden,0,0,1,1,France,0.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,0.0,103.0,0.2,0.1,0.0,1.0,1.5,0.0112781954887218,0.8,-1.6512653227656096,-3.963102867983144,
USA,1900,10,20,75,2,United States,19,14,15,48,France,0.3958333333333333,0,1,0,68,0.0040799184016319,0.1811320754716981,0.3958333333333333,2.145833333333333,0.5,0.64,1.0,0.9333333333333332,2.0,0.0499999999999999,1.0,19.002184968548576,33.093153967363506,-0.06666666666666676
AUS,1904,2,18,2,12,Australia,0,3,1,4,United States,0.0,0,0,0,11,0.0006599868002639,0.0144927536231884,0.0,57.75,0.1111111111111111,2.0,0.3333333333333333,1.0,1.8333333333333333,0.0181818181818181,0.9230769230769232,16.54377674670851,-0.3858881848061122,0.0
AUT,1904,2,18,2,8,Austria,1,1,1,3,United States,0.3333333333333333,0,0,0,14,0.0008399832003359,0.0108695652173913,0.3333333333333333,77.0,0.1111111111111111,1.5,-0.5,1.0,1.5,0.0553030303030303,0.8,11.586782641618507,-1.5373864429363628,0.0
CAN,1904,6,18,55,3,Canada,4,1,1,6,United States,0.6666666666666666,0,0,0,8,0.0004799904001919,0.0217391304347826,0.6666666666666666,38.5,0.3333333333333333,0.109090909090909,-0.7692307692307693,1.0,1.8333333333333333,0.0505050505050504,0.9230769230769232,8.03395188657819,0.2179734856952357,0.0
CUB,1904,2,18,3,4,Cuba,3,0,0,3,United States,1.0,0,0,0,5,0.0002999940001199,0.0108695652173913,1.0,77.0,0.1111111111111111,1.0,-0.6666666666666666,1.0,2.0,0.2287878787878787,1.0,6.711959801730581,-1.6297849726297855,0.0
FRA,1904,1,18,1,13,France,0,1,0,1,United States,0.0,1,0,0,115,0.0068998620027599,0.0036231884057971,0.0,231.0,0.0555555555555555,1.0,12.0,1.0,1.8333333333333333,0.0181818181818181,0.9230769230769232,-22.45321369959347,-1.8290257692590943,0.014939309056955952
GBR,1904,3,18,6,9,Great Britain,1,1,0,2,United States,0.5,0,0,0,40,0.0023999520009599,0.0072463768115942,0.5,115.5,0.1666666666666666,0.3333333333333333,2.0,1.0,1.5,0.0553030303030303,0.8,-4.117827452726029,-1.7615453224304845,0.013698630136986356
GER,1904,9,18,22,2,Germany,4,5,6,15,United States,0.2666666666666666,0,0,0,37,0.0022199556008879,0.0543478260869565,0.2666666666666666,15.4,0.5,0.6818181818181818,-0.7142857142857143,1.0,1.8333333333333333,0.0505050505050504,0.9230769230769232,21.21944291455444,-26.190974315506057,0.0
GRE,1904,3,18,14,11,Greece,1,0,1,2,United States,0.5,0,0,0,49,0.0029399412011759,0.0072463768115942,0.5,115.5,0.1666666666666666,0.1428571428571428,4.5,1.0,1.5,0.0553030303030303,0.8,-9.74402261832716,-1.4083494602168014,0.0
HUN,1904,2,18,4,5,Hungary,2,1,1,4,United States,0.5,0,0,0,15,0.0008999820003599,0.0144927536231884,0.5,57.75,0.1111111111111111,1.0,-0.5454545454545454,1.0,1.6666666666666663,0.109090909090909,0.8571428571428571,7.596116591083157,-0.4258747693314042,0.0
NOR,1904,2,18,3,7,Norway,2,0,0,2,United States,1.0,0,0,0,7,0.0004199916001679,0.0072463768115942,1.0,115.5,0.1111111111111111,0.6666666666666666,-0.5882352941176471,1.0,1.6666666666666663,0.109090909090909,0.8571428571428571,1.0586407175038266,-2.238109444836738,0.0
SUI,1904,2,18,3,10,Switzerland,1,0,2,3,United States,0.3333333333333333,0,0,0,15,0.0008999820003599,0.0108695652173913,0.3333333333333333,77.0,0.1111111111111111,1.0,0.6666666666666666,1.0,1.5,0.0553030303030303,0.8,4.75155074269602,-1.2701908774502515,0.0576923076923076
USA,1904,18,18,518,1,United States,76,78,77,231,United States,0.329004329004329,0,0,1,299,0.0179396412071758,0.8369565217391305,0.329004329004329,1.0,1.0,0.4459459459459459,-0.5,0.9855725879170424,2.0,0.0,1.0,37.66434695794943,292.51338850078787,0.05223925458370915
ANZ,1908,6,24,30,11,Australasia,1,2,2,5,United Kingdom,0.2,0,0,0,5,0.0002999940001199,0.0155763239875389,0.2,29.2,0.25,0.1666666666666666,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,4.9423379640357865,1.254475376209113,
AUT,1908,4,24,7,19,Austria,0,0,1,1,United Kingdom,0.0,0,0,0,15,0.0008999820003599,0.0031152647975077,0.0,146.0,0.1666666666666666,0.1428571428571428,1.375,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,-6.832558651874152,-2.1239825359702023,0.0
BEL,1908,11,24,70,10,Belgium,1,5,2,8,United Kingdom,0.125,0,0,0,25,0.0014999700005999,0.0249221183800623,0.125,18.25,0.4583333333333333,0.1142857142857142,1.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,11.198529945610728,4.793221112172296,0.0
BOH,1908,5,24,19,17,Bohemia,0,0,2,2,United Kingdom,0.0,0,0,0,4,0.0002399952000959,0.0062305295950155,0.0,73.0,0.2083333333333333,0.1052631578947368,-0.15,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,0.5851668581943217,-1.6128937525700375,0.2222222222222222
CAN,1908,11,24,87,7,Canada,3,3,10,16,United Kingdom,0.1875,0,0,0,24,0.0014399712005759,0.0498442367601246,0.1875,9.125,0.4583333333333333,0.1839080459770115,1.3333333333333333,1.0,1.7777777777777777,0.0792483660130718,0.9,11.924936529555207,13.0371146571429,0.0
DEN,1908,8,24,78,16,Denmark,0,2,3,5,United Kingdom,0.0,0,0,0,17,0.0010199796004079,0.0155763239875389,0.0,29.2,0.3333333333333333,0.0641025641025641,0.6,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,6.073344953167771,1.4854360424726585,0.0
FIN,1908,6,24,62,13,Finland,1,1,3,5,United Kingdom,0.2,0,0,0,5,0.0002999940001199,0.0155763239875389,0.2,29.2,0.25,0.0806451612903225,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,4.061499431172604,1.6342387971718546,
FRA,1908,13,24,208,4,France,5,5,9,19,United Kingdom,0.2631578947368421,0,0,0,134,0.0080398392032159,0.0591900311526479,0.2631578947368421,7.684210526315789,0.5416666666666666,0.0913461538461538,-0.6923076923076923,1.0,2.0,0.1470588235294117,1.0,17.098376269774057,17.232589964952666,0.0
GBR,1908,24,24,732,1,Great Britain,56,51,39,146,United Kingdom,0.3835616438356164,0,0,0,186,0.0111597768044639,0.454828660436137,0.3835616438356164,1.0,1.0,0.1994535519125683,-0.8888888888888888,0.9567901234567902,2.0,0.0,1.0,35.71211294835451,156.70045285563157,-0.043209876543209846
GER,1908,12,24,82,5,Germany,3,5,5,13,United Kingdom,0.2307692307692307,0,0,0,50,0.0029999400011999,0.0404984423676012,0.2307692307692307,11.23076923076923,0.5,0.1585365853658536,1.5,0.9864864864864864,1.7777777777777777,0.0792483660130718,0.9,12.835584912002428,8.506865809063521,-0.013513513513513598
GRE,1908,3,24,20,15,Greece,0,3,1,4,United Kingdom,0.0,0,0,0,53,0.0031799364012719,0.0124610591900311,0.0,36.5,0.125,0.2,0.3636363636363636,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,-0.2490015334458272,1.2233857891838067,0.0
HUN,1908,8,24,65,6,Hungary,3,4,2,9,United Kingdom,0.3333333333333333,0,0,0,24,0.0014399712005759,0.02803738317757,0.3333333333333333,16.22222222222222,0.3333333333333333,0.1384615384615384,0.2,1.0,1.7777777777777777,0.0792483660130718,0.9,8.139107006525949,5.132088597860767,0.0
ITA,1908,8,24,66,9,Italy,2,2,0,4,United Kingdom,0.5,0,0,0,9,0.0005399892002159,0.0124610591900311,0.5,36.5,0.3333333333333333,0.0606060606060606,0.125,1.0,1.8888888888888888,0.1716464363523187,0.9473684210526316,6.333062389258685,0.4800677553253898,0.02777777777777779
NED,1908,11,24,113,17,Netherlands,0,0,2,2,United Kingdom,0.0,0,0,0,7,0.0004199916001679,0.0062305295950155,0.0,73.0,0.4583333333333333,0.0176991150442477,0.0,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,8.6582519835935,-1.2051208799862367,0.0
NOR,1908,7,24,69,8,Norway,2,3,3,8,United Kingdom,0.25,0,0,0,15,0.0008999820003599,0.0249221183800623,0.25,18.25,0.2916666666666667,0.1159420289855072,0.1428571428571428,1.0,1.8888888888888888,0.1716464363523187,0.9473684210526316,6.348909908952993,4.079478781744781,0.0
