NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,Predicted_CA,delta_GR,T_c,S_c,Coach_Effect,EI,ESP,ECR_Large,ECR_Small
AUS,1896,2,9,1,8,Australia,2,0,0,2,Greece,1.0,0,0,0,2,0.0001199976000479,0.0166666666666666,1.0,23.5,0.7699999311488868,4.692592592592593,0.0,1.0,1.4,0.07,0.7692307692307693,23.008642266254785,-10.568224124286,0.0,20.51851851851852,-3.0,13.462962962962962,0.0,1.0,0.2222222222222222,0.0930232558139534
AUT,1896,3,9,3,7,Austria,2,1,2,5,Greece,0.4,0,0,0,5,0.0002999940001199,0.0416666666666666,0.4,9.4,0.6301124810858623,2.04974358974359,0.0,1.0,1.4,0.07,0.7692307692307693,24.45811089380305,-4.60650215890041,0.0,3.769230769230769,-1.133333333333333,2.2984615384615386,0.0,0.3333333333333333,0.3333333333333333,0.1860465116279069
DEN,1896,5,9,3,9,Denmark,1,2,3,6,Greece,0.1666666666666666,0,0,0,6,0.0003599928001439,0.05,0.1666666666666666,7.833333333333333,1.59227307220842,2.917222222222222,0.0,1.0,1.6,0.0444444444444444,0.8333333333333334,36.12694629260157,4.233594295459961,0.0,7.321428571428571,-1.7962962962962965,4.58611111111111,0.0,0.3333333333333333,0.5555555555555556,0.2790697674418604
FRA,1896,6,9,12,4,France,5,4,2,11,Greece,0.4545454545454545,0,1,0,11,0.0006599868002639,0.0916666666666666,0.4545454545454545,4.2727272727272725,2.6759456261400616,2.616587643678161,0.0,1.0,2.0,0.2333333333333333,1.0,29.31495216890616,0.39715658771199,0.0,27.03448275862069,-1.2651515151515151,18.54459247648903,0.0357142857142857,0.25,0.6666666666666666,0.4186046511627907
GBR,1896,7,9,10,5,Great Britain,2,3,2,7,Greece,0.2857142857142857,0,0,0,7,0.0004199916001679,0.0583333333333333,0.2857142857142857,6.714285714285714,2.974076713607144,1.7096224806201548,0.0,1.0,1.4,0.07,0.7692307692307693,31.04615669066324,-7.682597994728827,0.0,22.209302325581397,-3.744444444444445,14.423178294573642,0.0,0.1,0.7777777777777778,0.4186046511627907
GER,1896,6,9,19,3,Germany,6,5,2,13,Greece,0.4615384615384615,0,0,0,13,0.0007799844003119,0.1083333333333333,0.4615384615384615,3.615384615384616,2.871335229151013,2.541629460648525,0.0,1.0,2.0,0.1777777777777777,1.0,26.97093754215111,-41.63651798132607,0.0,39.23529411764706,-1.0593792172739542,27.14689211717075,0.037037037037037,0.5263157894736842,0.6666666666666666,0.6046511627906976
GRE,1896,9,9,102,2,Greece,10,18,19,47,Greece,0.2127659574468085,0,0,1,47,0.0028199436011279,0.3916666666666666,0.2127659574468085,1.0,2.8755732757469388,0.6687471164936563,0.0,1.0,2.0,0.1,1.0,37.08113470678231,98.5163463163129,0.0,6.25,0.4607843137254901,4.513235294117648,0.0,0.0686274509803921,1.0,0.8604651162790697
HUN,1896,6,9,7,6,Hungary,2,1,3,6,Greece,0.3333333333333333,0,0,0,6,0.0003599928001439,0.05,0.3333333333333333,7.833333333333333,2.3816748081419954,1.897596371882086,0.0,1.0,1.4,0.07,0.7692307692307693,28.508939378615352,-3.996334119616552,0.0,18.925925925925927,-3.698412698412698,12.13862433862434,0.0,0.1428571428571428,0.6666666666666666,0.3255813953488372
SUI,1896,2,9,3,10,Switzerland,1,2,0,3,Greece,0.3333333333333333,0,0,0,3,0.0001799964000719,0.025,0.3333333333333333,15.666666666666666,0.4351763028725908,1.461111111111111,0.0,1.0,1.6,0.0444444444444444,0.8333333333333334,13.201203086671027,-8.137177456672092,0.0,7.555555555555555,-2.259259259259259,4.611111111111111,0.0,0.3333333333333333,0.2222222222222222,0.1162790697674418
USA,1896,3,9,14,1,United States,11,7,2,20,Greece,0.55,0,0,0,20,0.0011999760004799,0.1666666666666666,0.55,2.35,1.6591579622792234,10.61533779028853,0.0,1.0,2.0,0.0,1.0,22.409153557369542,59.15392150484157,0.0,91.44827586206895,0.9785714285714286,64.3073645320197,0.0,0.0714285714285714,0.3333333333333333,0.3720930232558139
AUS,1900,2,20,2,9,Australia,2,0,3,5,France,0.4,0,0,0,7,0.0004199916001679,0.0188679245283018,0.4,20.6,0.3563769295951812,6.131240740740741,0.125,1.0,2.0,0.2639097744360902,1.0,23.611755730827653,-1.851005492263826,0.0,20.51851851851852,0.5399999999999998,14.524962962962965,0.0714285714285714,0.5,0.1,0.0555555555555555
AUT,1900,4,20,16,16,Austria,0,3,3,6,France,0.0,0,0,0,11,0.0006599868002639,0.0226415094339622,0.0,17.166666666666668,0.1078116967705935,0.4417860576923077,1.2857142857142858,1.0,1.5,0.0112781954887218,0.8,4.01127120899864,1.3874560239594231,0.0,3.769230769230769,-2.858333333333334,1.7809615384615385,0.0,0.0625,0.2,0.1777777777777777
BEL,1900,10,20,64,5,Belgium,6,7,4,17,France,0.3529411764705882,0,0,0,17,0.0010199796004079,0.0641509433962264,0.3529411764705882,6.0588235294117645,0.9571601362704784,0.35914794921875,0.0,1.0,1.9,0.1052631578947368,0.9523809523809524,16.423034641970546,7.0704375557895744,0.0,6.0,-2.2637867647058822,3.5208639705882345,0.0,0.078125,0.35,0.2888888888888888
BOH,1900,4,20,7,20,Bohemia,0,1,1,2,France,0.0,0,0,0,2,0.0001199976000479,0.0075471698113207,0.0,51.5,-0.1298590416260244,0.2415918367346938,0.0,0.7777777777777778,1.5,0.0112781954887218,0.8,3.092602330728293,-2.7862973246840683,0.0,2.0,-9.814285714285717,-1.5442857142857145,0.0,0.1428571428571428,0.2,0.0888888888888888
CAN,1900,1,20,4,13,Canada,1,0,1,2,France,0.5,0,0,0,2,0.0001199976000479,0.0075471698113207,0.5,51.5,-0.0099639717564968,0.8974027777777778,0.0,1.0,1.5,0.0537593984962406,0.8,-0.2273248902718521,-3.902067098752028,0.0,12.22222222222222,-2.0250000000000004,7.948055555555554,0.0,0.25,0.05,0.0555555555555555
CUB,1900,1,20,1,12,Cuba,1,1,0,2,France,0.5,0,0,0,2,0.0001199976000479,0.0075471698113207,0.5,51.5,0.1383861464387112,3.97225,0.0,1.0,1.5,0.0537593984962406,0.8,15.132297026529889,-4.619889729377912,0.0,14.3125,-0.5250000000000004,9.861249999999998,0.0357142857142857,1.0,0.05,0.0222222222222222
DEN,1900,5,20,13,10,Denmark,1,3,2,6,France,0.1666666666666666,0,0,0,12,0.0007199856002879,0.0226415094339622,0.1666666666666666,17.166666666666668,0.3719937456412601,0.6485059171597632,0.1111111111111111,1.0,1.5,0.0537593984962406,0.8,8.462483245324188,-0.2777848373211391,0.0,7.321428571428571,-3.5801282051282053,4.050961538461538,0.0697674418604651,0.2307692307692307,0.05,0.0111111111111111
ESP,1900,4,20,9,14,Spain,1,0,0,1,France,1.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,1.0,103.0,0.0041589305557376,0.1095925925925925,0.0,1.0,1.5,0.0537593984962406,0.8,-1.5374903456041151,-4.372398938152988,,8.5,-20.28888888888889,-0.1366666666666676,0.0,0.5555555555555556,0.05,0.0111111111111111
FRA,1900,19,20,715,1,France,27,39,37,103,France,0.2621359223300971,0,0,1,114,0.0068398632027359,0.3886792452830189,0.2621359223300971,1.0,3.947769891612949,0.4172919630164866,-0.75,0.985060690943044,2.0,0.0,1.0,33.10259315572295,124.69406331439056,-0.0149393090569559,27.03448275862069,0.144055944055944,18.967354714251268,0.0,0.1244755244755244,0.6,0.6666666666666666
GBR,1900,16,20,104,3,Great Britain,15,7,9,31,France,0.4838709677419355,0,0,0,38,0.0022799544009119,0.1169811320754717,0.4838709677419355,3.3225806451612905,3.0274993811115785,0.7475326690862805,-0.4,0.9863013698630136,2.0,0.0947368421052631,1.0,28.52278345721914,22.016105459958577,-0.0136986301369863,22.209302325581397,-1.5599875930521094,15.078515349991342,1.0,0.2019230769230769,0.1,0.0222222222222222
GER,1900,10,20,76,7,Germany,4,3,2,9,France,0.4444444444444444,0,0,0,22,0.0013199736005279,0.0339622641509433,0.4444444444444444,11.444444444444445,1.7606280337004057,0.4255290655043178,1.3333333333333333,1.0,2.0,0.2236842105263158,1.0,12.658070717408282,2.0841335238937404,0.0,39.23529411764706,-5.103801169590644,25.933565531475743,0.0,0.1842105263157894,0.3,0.2111111111111111
HUN,1900,4,20,18,11,Hungary,1,2,2,5,France,0.2,0,0,0,11,0.0006599868002639,0.0188679245283018,0.2,20.6,0.3314155214784103,0.6154300411522634,0.8333333333333334,1.0,1.5,0.0537593984962406,0.8,3.491398934850265,-1.3447400931390892,0.0,18.925925925925927,-3.642222222222223,12.155481481481482,0.0344827586206896,0.2222222222222222,0.2,0.2333333333333333
IND,1900,1,20,1,19,India,0,2,0,2,France,0.0,0,0,0,2,0.0001199976000479,0.0075471698113207,0.0,51.5,0.0488633765096027,2.2190263157894736,0.0,1.0,1.5,0.0112781954887218,0.8,15.132297026529889,-3.56753810609451,,1.7894736842105263,-0.5250000000000004,1.095131578947368,0.0,1.0,0.05,0.0555555555555555
ITA,1900,6,20,23,8,Italy,3,2,0,5,France,0.6,0,0,0,5,0.0002999940001199,0.0188679245283018,0.6,20.6,0.7513250391781636,0.5315884618077432,0.0,0.9722222222222222,2.0,0.2394736842105263,1.0,7.774418278498426,-2.8484734300764423,,23.074074074074076,-5.662608695652174,14.453069243156197,0.0,0.0434782608695652,0.3,0.1888888888888888
LUX,1900,1,20,1,14,Luxembourg,1,0,0,1,France,1.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,1.0,103.0,-0.0057519428877518,0.947,0.0,1.0,1.5,0.0537593984962406,0.8,2.05034890391504,-4.3294799403073485,,1.0,-4.1000000000000005,-0.5300000000000002,0.0344827586206896,1.0,0.05,0.0111111111111111
