NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,delta_GR,T_c,S_c,Coach_Effect,EI,ESP,ECR_Large,ECR_Small
AUS,1896,2,9,1,8,Australia,2,0,0,2,Greece,1.0,0,0,0,2,0.0001199976000479,0.0166666666666666,1.0,23.5,0.7699999311488868,4.692592592592593,0.0,1.0,1.4,0.07,0.7692307692307693,22.891357084013805,0.0,20.51851851851852,-3.0,13.462962962962962,0.0,1.0,0.2222222222222222,0.0930232558139534
AUT,1896,3,9,3,7,Austria,2,1,2,5,Greece,0.4,0,0,0,5,0.0002999940001199,0.0416666666666666,0.4,9.4,0.6301124810858623,2.04974358974359,0.0,1.0,1.4,0.07,0.7692307692307693,14.986391951627107,0.0,3.769230769230769,-1.133333333333333,2.2984615384615386,0.0,0.3333333333333333,0.3333333333333333,0.1860465116279069
DEN,1896,5,9,3,9,Denmark,1,2,3,6,Greece,0.1666666666666666,0,0,0,6,0.0003599928001439,0.05,0.1666666666666666,7.833333333333333,1.59227307220842,2.917222222222222,0.0,1.0,1.6,0.0444444444444444,0.8333333333333334,26.932200467930365,0.0,7.321428571428571,-1.7962962962962965,4.58611111111111,0.0,0.3333333333333333,0.5555555555555556,0.2790697674418604
FRA,1896,6,9,12,4,France,5,4,2,11,Greece,0.4545454545454545,0,1,0,11,0.0006599868002639,0.0916666666666666,0.4545454545454545,4.2727272727272725,2.6759456261400616,2.616587643678161,0.0,1.0,2.0,0.2333333333333333,1.0,37.03668546222829,0.0,27.03448275862069,-1.2651515151515151,18.54459247648903,0.0357142857142857,0.25,0.6666666666666666,0.4186046511627907
GBR,1896,7,9,10,5,Great Britain,2,3,2,7,Greece,0.2857142857142857,0,0,0,7,0.0004199916001679,0.0583333333333333,0.2857142857142857,6.714285714285714,2.974076713607144,1.7096224806201548,0.0,1.0,1.4,0.07,0.7692307692307693,37.47265438600385,0.0,22.2093023255814,-3.744444444444445,14.423178294573642,0.0,0.1,0.7777777777777778,0.4186046511627907
GER,1896,6,9,19,3,Germany,6,5,2,13,Greece,0.4615384615384615,0,0,0,13,0.0007799844003119,0.1083333333333333,0.4615384615384615,3.615384615384616,2.871335229151013,2.541629460648525,0.0,1.0,2.0,0.1777777777777777,1.0,38.80359215315954,0.0,39.23529411764706,-1.0593792172739542,27.14689211717075,0.037037037037037,0.5263157894736842,0.6666666666666666,0.6046511627906976
GRE,1896,9,9,102,2,Greece,10,18,19,47,Greece,0.2127659574468085,0,0,1,47,0.0028199436011279,0.3916666666666666,0.2127659574468085,1.0,2.8755732757469388,0.6687471164936563,0.0,1.0,2.0,0.1,1.0,33.93442119497607,0.0,6.25,0.4607843137254901,4.513235294117648,0.0,0.0686274509803921,1.0,0.8604651162790697
HUN,1896,6,9,7,6,Hungary,2,1,3,6,Greece,0.3333333333333333,0,0,0,6,0.0003599928001439,0.05,0.3333333333333333,7.833333333333333,2.3816748081419954,1.897596371882086,0.0,1.0,1.4,0.07,0.7692307692307693,32.04521535378583,0.0,18.925925925925927,-3.698412698412698,12.13862433862434,0.0,0.1428571428571428,0.6666666666666666,0.3255813953488372
SUI,1896,2,9,3,10,Switzerland,1,2,0,3,Greece,0.3333333333333333,0,0,0,3,0.0001799964000719,0.025,0.3333333333333333,15.666666666666666,0.4351763028725908,1.461111111111111,0.0,1.0,1.6,0.0444444444444444,0.8333333333333334,11.223054067183536,0.0,7.555555555555555,-2.259259259259259,4.611111111111111,0.0,0.3333333333333333,0.2222222222222222,0.1162790697674418
USA,1896,3,9,14,1,United States,11,7,2,20,Greece,0.55,0,0,0,20,0.0011999760004799,0.1666666666666666,0.55,2.35,1.6591579622792234,10.61533779028853,0.0,1.0,2.0,0.0,1.0,48.43136764952739,0.0,91.44827586206895,0.9785714285714286,64.3073645320197,0.0,0.0714285714285714,0.3333333333333333,0.3720930232558139
