Sample File,Marker,Allele,Height,Size,Classification,Confidence,Original_CTA
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,AMEL,Y,94.0,110.81,True_Allele,0.9999996804641476,0.95
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,AMEL,X,81.0,104.98,True_Allele,0.9999996437087472,0.7755319148936171
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D19S433,13,63.0,116.34,True_Allele,0.999999492801373,0.95
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D19S433,16.2,37.0,130.21,True_Allele,0.9999988153727499,0.5285714285714286
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D3S1358,17,112.0,130.45,True_Allele,0.9999997293622056,0.95
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D3S1358,16,61.0,126.39,True_Allele,0.9999993185723193,0.4901785714285714
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D5S818,11,77.0,148.99,True_Allele,0.9999993558888213,0.95
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D8S1179   ,13,40.0,141.91,True_Allele,0.9999979763187404,0.95
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D8S1179   ,14,40.0,146.24,True_Allele,0.9999986446387301,0.9
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D8S1179   ,13,40.0,141.91,True_Allele,0.9999979763187404,0.95
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,D8S1179   ,14,40.0,146.24,True_Allele,0.9999986446387301,0.9
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,TH01,7,55.0,172.76,True_Allele,0.9999994529409713,0.95
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,vWA,19,46.0,184.43,True_Allele,0.9999986256627597,0.95
