Sample File,Marker,Allele,Size,Height,Original_Height,Peak_Index,Height_Rank,Relative_Intensity,Preliminary_CTA,Is_Saturated,Adaptive_CTA,CTA_Details,Denoising_Status
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,AMEL,X,104.85,714.0,714.0,1,1,1.0,0.95,False,0.9926981216959571,"{'base_cta': 0.79, 'classification': 'True_Allele', 'classification_confidence': 0.9999996581866264, 'classification_weight': 1.2999998974559879, 'v5_weight': 0.9666000000000001, 'context_weight': 1.0}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,AMEL,Y,110.83,508.0,508.0,3,2,0.711484593837535,0.6403361344537816,False,0.9550007246695416,"{'base_cta': 0.7600000000000001, 'classification': 'True_Allele', 'classification_confidence': 0.9999996581866872, 'classification_weight': 1.299999897456006, 'v5_weight': 0.9666000000000001, 'context_weight': 1.0}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,CSF1PO,10,318.76,215.0,215.0,3,1,1.0,0.95,False,0.8029545881995898,"{'base_cta': 0.71, 'classification': 'True_Allele', 'classification_confidence': 0.9999998283816115, 'classification_weight': 1.2999999485144835, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,CSF1PO,12,326.86,139.0,139.0,5,2,0.6465116279069767,0.5818604651162791,False,0.6785531767901133,"{'base_cta': 0.6000000000000001, 'classification': 'True_Allele', 'classification_confidence': 0.9999998517784949, 'classification_weight': 1.2999999555335484, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,CSF1PO,11,322.83,95.0,95.0,4,3,0.4418604651162791,0.3976744186046512,False,0.5260102063164566,"{'base_cta': 0.4651162790697675, 'classification': 'True_Allele', 'classification_confidence': 0.9999997838179705, 'classification_weight': 1.299999935145391, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D13S317,11,227.21,233.0,233.0,7,1,1.0,0.95,False,0.8029545885656593,"{'base_cta': 0.71, 'classification': 'True_Allele', 'classification_confidence': 0.9999998303571914, 'classification_weight': 1.2999999491071574, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D13S317,12,231.24,183.0,183.0,8,2,0.7854077253218884,0.7068669527896996,False,0.6785531769975923,"{'base_cta': 0.6000000000000001, 'classification': 'True_Allele', 'classification_confidence': 0.9999998531034844, 'classification_weight': 1.2999999559310453, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D13S317,9,219.09,171.0,171.0,5,3,0.7339055793991416,0.6605150214592275,False,0.6333162952067173,"{'base_cta': 0.56, 'classification': 'True_Allele', 'classification_confidence': 0.9999998303571914, 'classification_weight': 1.2999999491071574, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D16S539,11,275.25,326.0,326.0,3,1,1.0,0.95,False,0.7226591293796308,"{'base_cta': 0.71, 'classification': 'True_Allele', 'classification_confidence': 0.9999998283816115, 'classification_weight': 1.2999999485144835, 'v5_weight': 0.9666000000000001, 'context_weight': 0.81}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D16S539,12,279.33,158.0,158.0,5,2,0.48466257668711654,0.4361963190184049,False,0.5402615349890543,"{'base_cta': 0.53079754601227, 'classification': 'True_Allele', 'classification_confidence': 0.9999997986047281, 'classification_weight': 1.2999999395814184, 'v5_weight': 0.9666000000000001, 'context_weight': 0.81}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D18S51,15,293.04,145.0,145.0,4,1,1.0,0.95,False,0.7124808356296121,"{'base_cta': 0.6300000000000001, 'classification': 'True_Allele', 'classification_confidence': 0.9999998517784527, 'classification_weight': 1.2999999555335358, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D18S51,17,300.97,140.0,140.0,6,2,0.9655172413793104,0.8689655172413794,False,0.6785531767901066,"{'base_cta': 0.6000000000000001, 'classification': 'True_Allele', 'classification_confidence': 0.9999998517784527, 'classification_weight': 1.2999999555335358, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D19S433,14,120.08,803.0,803.0,5,1,1.0,0.95,False,0.8040854596813639,"{'base_cta': 0.79, 'classification': 'True_Allele', 'classification_confidence': 0.9999995563729572, 'classification_weight': 1.2999998669118873, 'v5_weight': 0.9666000000000001, 'context_weight': 0.81}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D19S433,13,116.18,397.0,397.0,3,2,0.4943960149439601,0.4449564134495641,False,0.6276320605164154,"{'base_cta': 0.6166376089663761, 'classification': 'True_Allele', 'classification_confidence': 0.9999994912231902, 'classification_weight': 1.2999998473669572, 'v5_weight': 0.9666000000000001, 'context_weight': 0.81}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D21S11,31.2,212.55,133.0,133.0,6,1,1.0,0.95,False,0.712480835847472,"{'base_cta': 0.6300000000000001, 'classification': 'True_Allele', 'classification_confidence': 0.9999998531034844, 'classification_weight': 1.2999999559310453, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
E05_RD14-0003-36_37_38_39-1;2;2;1-M2e-0.378IP-Q1.2_001.5sec.fsa,D21S11,29,202.57,126.0,126.0,3,2,0.9473684210526315,0.8526315789473684,False,0.678553173435775,"{'base_cta': 0.6000000000000001, 'classification': 'True_Allele', 'classification_confidence': 0.9999998303572327, 'classification_weight': 1.2999999491071699, 'v5_weight': 0.9666000000000001, 'context_weight': 0.9}",Retained
